Model,Name,Rating,Price,Link
Model: A2483,Apple - Pre-Owned iPhone 13 Pro 5G 256GB (Unlocked) - Sierra Blue,Not Yet Reviewed,779.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-5g-256gb-unlocked-sierra-blue/6562117.p?skuId=6562117
Model: A2484,Apple - Pre-Owned iPhone 13 Pro Max 5G 128GB (Unlocked) - Graphite,(6),829.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-max-5g-128gb-unlocked-graphite/6563055.p?skuId=6563055
Model: A2484-GLD,Apple - Pre-Owned iPhone 13 Pro Max 5G 128GB (Unlocked) - Gold,(17),849.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-13-pro-max-5g-128gb-unlocked-gold/6558581.p?skuId=6558581
Model: GSRF MLTP3LL/A,New!Apple - Geek Squad Certified Refurbished iPhone 13 Pro 5G 128GB - Graphite (AT&T),Not Yet Reviewed,549.99,https://www.bestbuy.com/site/apple-geek-squad-certified-refurbished-iphone-13-pro-5g-128gb-graphite-at-t/6567094.p?skuId=6567094
Model: A2341 GRY,Apple - Pre-Owned iPhone 12 Pro 5G 128GB (Unlocked) - Graphite,(86),549.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-pro-5g-128gb-unlocked-graphite/6554880.p?skuId=6554880
Model: A2172,Apple - Pre-Owned iPhone 12 5G 64GB (Unlocked) - Black,(204),399.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-5g-64gb-unlocked-black/6530509.p?skuId=6530509
Model: IPH-12-256-BLE,Apple - Pre-Owned iPhone 12 5G 256GB (Unlocked) - Blue,(16),499.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-5g-256gb-unlocked-blue/6516543.p?skuId=6516543
Model: MGF43LL/A,Apple - iPhone 12 5G 64GB (Unlocked) - Black,(123),566.99,https://www.bestbuy.com/site/apple-iphone-12-5g-64gb-unlocked-black/6417831.p?skuId=6417831
Model: IPH-12-128-GRN,Apple - Pre-Owned iPhone 12 5G 128GB (Unlocked) - Green,(102),449.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-5g-128gb-unlocked-green/6510046.p?skuId=6510046
Model: IPH-12M-128-BLE,Apple - Pre-Owned iPhone 12 Mini 5G 128GB (Unlocked) - Blue,(33),399.99,https://www.bestbuy.com/site/apple-pre-owned-iphone-12-mini-5g-128gb-unlocked-blue/6525044.p?skuId=6525044
